GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G1100010006801,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,6801,,,,,,,,,,,State: 11 County: 001 Tract: 68.01,167,2626,3,0,0,1,2,2,0,3,0,1,0,0,6
G1100010006802,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,6802,,,,,,,,,,,State: 11 County: 001 Tract: 68.02,180,2486,3,0,0,2,0,0,0,0,0,3,0,0,5
G1100010006804,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,6804,,,,,,,,,,,State: 11 County: 001 Tract: 68.04,314,1622,7,0,0,0,2,1,1,17,1,0,2,0,61
G11000100069,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,69,,,,,,,,,,,State: 11 County: 001 Tract: 69,634,1839,13,0,0,3,11,2,1,5,1,4,0,0,19
G11000100070,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,70,,,,,,,,,,,State: 11 County: 001 Tract: 70,1653,975,17,0,0,5,19,1,4,4,0,0,1,0,26
G11000100071,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,71,,,,,,,,,,,State: 11 County: 001 Tract: 71,371,2879,2,0,0,2,8,0,0,2,0,1,0,0,9
G11000100072,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,72,,,,,,,,,,,State: 11 County: 001 Tract: 72,179,2863,1,0,0,0,1,4,0,0,0,1,0,0,7
G1100010007299,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7299,,,,,,,,,,,State: 11 County: 001 Tract: 72.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010007301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,7301,,,,,,,,,,,State: 11 County: 001 Tract: 73.01,4864,1620,27,0,0,48,13,258,26,0,0,7,3,0,174
G1100010007302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7302,,,,,,,,,,,State: 11 County: 001 Tract: 73.02,304,4175,2,0,0,1,8,22,1,0,0,1,0,0,21
G1100010007304,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7304,,,,,,,,,,,State: 11 County: 001 Tract: 73.04,41,3990,4,0,0,1,0,1,0,0,0,0,0,0,15
G1100010007308,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,7308,,,,,,,,,,,State: 11 County: 001 Tract: 73.08,105,703,0,0,0,0,3,0,0,0,0,0,0,0,1
G1100010007401,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7401,,,,,,,,,,,State: 11 County: 001 Tract: 74.01,2,3953,9,0,0,0,0,0,0,1,0,6,0,0,14
G1100010007404,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7404,,,,,,,,,,,State: 11 County: 001 Tract: 74.04,13,5990,4,0,0,0,0,0,0,2,0,1,0,0,20
G1100010007405,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7405,,,,,,,,,,,State: 11 County: 001 Tract: 74.05,32,7153,6,0,0,3,0,4,0,0,0,3,0,0,21
G1100010007406,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7406,,,,,,,,,,,State: 11 County: 001 Tract: 74.06,3,3299,0,0,0,0,0,0,1,0,0,0,0,0,4
G1100010007407,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7407,,,,,,,,,,,State: 11 County: 001 Tract: 74.07,24,3630,4,0,0,0,0,0,0,0,0,0,0,2,6
G1100010007408,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7408,,,,,,,,,,,State: 11 County: 001 Tract: 74.08,48,2203,0,0,0,0,0,3,0,0,0,0,0,0,2
G1100010007501,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7501,,,,,,,,,,,State: 11 County: 001 Tract: 75.01,259,6084,8,0,0,0,5,5,0,0,14,1,1,0,17
G1100010007502,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7502,,,,,,,,,,,State: 11 County: 001 Tract: 75.02,123,4001,5,0,2,1,0,0,0,1,0,1,0,0,2
G1100010007601,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7601,,,,,,,,,,,State: 11 County: 001 Tract: 76.01,511,5321,11,0,0,3,15,3,3,4,0,0,0,0,22
G1100010007603,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7603,,,,,,,,,,,State: 11 County: 001 Tract: 76.03,1499,2958,3,0,0,3,2,30,0,7,0,2,0,0,32
